"## RECSentity.id","entity.name","entity.categoryId","entity.message","entity.thumbnailUrl","entity.value","entity.pageUrl","entity.inventory","entity.margin","entity.brand"
"PAR_NEW0APP1242","iPad Pro ใหม่ รุ่น 12.9 นิ้ว (128 GB) Wi-Fi","19,355,19:27,19:1357,19:1359,1418",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/t/h/th_ipad_pro_4th_generation_gps_silver_aluminum_12.9in_pdp_us_1a_8.jpg","34900.00","https://store.ais.co.th/th/the-new-ipad-pro-12-9-inch-128-gb-wi-fi.html","0",,"Apple"
"PAR_NEW0PMWAFLE","POMO  Waffle","5,5:32,5:482,5:587,5:32:1258,5:32:1334",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/p/o/pomo-waffle_850x850_white_freebie_1.jpg","4990.00","https://store.ais.co.th/th/pomo-waffle.html","33",,"Pomo"
"PAR_NEW0PMWAFLE01","POMO Waffle","5,1323,5:32,5:482,584,5:587,1256,5:32:1258,5:32:1334",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/p/o/pomo-waffle_850x850_blue_freebie_1.jpg","4990.00","https://store.ais.co.th/th/pomo-waffle-2.html","37",,"Pomo"
"PAR_NEW0OP1989X","OPPO Reno2 F (เครื่องจะถูกล็อกหากค้างชำระค่าบริการ)","4,211,4:34,4:1301,4:1302,4:1303,1338,1340,4:1351,4:1384,4:1396,4:1455",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/o/p/oppo-reno2f_sky_white_850x850_1_2.jpg","9999.00","https://store.ais.co.th/th/oppo-reno2-f-cdm.html","17",,"Oppo"
"PAR_NEW0AP0SE23","iPhone SE ใหม่ (256 GB)","4,4:39,4:1375,4:1377,4:1396,4:1398,4:1400,4:1418,4:1436,4:1438,4:1455",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/t/h/th_iphonese_packshot_850x850_black_position_1_5.jpg","19900.00","https://store.ais.co.th/th/iphone-se-new-256-gb.html","22",,"Apple"
"PAR_NEW0AP0SE23_RED","iPhone SE PRODUCT(RED) ใหม่ (256 GB)","355,1376,1377",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/t/h/th_iphonese_packshot_850x850_red_position_1_5.jpg","19900.00","https://store.ais.co.th/th/iphone-se-product-red-new-256-gb.html","12",,"Apple"
"WDS_NEW0SSA307G","Samsung Galaxy A30s (พร้อมซิม AIS One-2-Call)","4,4:1389,4:1436,4:1438",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/p/a/packshot_sim_samsung-galaxy-a30s-464gb_850x850_black_1.jpg","7990.00","https://store.ais.co.th/th/samsung-galaxy-a30s-free-sim.html","22",,"Samsung"
"WDS_NEWAPP06P16","iPhone 6 Plus (16GB) (พร้อมซิม AIS One-2-Call)","4,4:1389,4:1436,4:1438",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/iphone6s_plus_spgry_850x850_1_1_2_2.jpg","27000.00","https://store.ais.co.th/th/iphone-6-plus-16gb-free-sim.html","6",,"Apple"
"WDS_NEWAPPI7128","iPhone 7 (128 GB) (พร้อมซิม AIS One-2-Call)","4,4:1389,4:1436,4:1438",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/i/p/iphone7plus-black-pureangles_2_10_3.jpg","11000.00","https://store.ais.co.th/th/iphone-7-128gb-free-sim.html","1",,"Apple"
"WDS_NEW0SSA507U","Samsung Galaxy A50s (4/64GB) (พร้อมซิม AIS One-2-Call)","4,4:1389,4:1436,4:1438",,"http://cpc.ais.co.th/CPC-FE-WEB/api/contents/download/media/catalog/product/p/a/packshot_sim_samsung-galaxy-a50s-464gb_850x850_black_1.jpg","8990.00","https://store.ais.co.th/th/samsung-galaxy-a50s-4-64gb-free-sim.html","0",,"Samsung"
